Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
testamentary trust,Class,Trusts Ontology,,trust established in accordance with the instructions contained in a last will and testament,It is a kind of irrevocable trust. ,,"A will could have more than one testamentary trust. The trustee named is responsible for managing and distributing the trustor's assets to the beneficiaries as directed in the will. Sometimes called a will trust, the testamentary trust is irrevocable.",release
thing-in-role,Class,Roles Ontology,,relative concept that ties something to a part it plays in a given situational context,,,,release
third-party agent,Class,Financial Products and Services Ontology,,any service provider that is licensed to perform a legally binding function and has been legally empowered to act on behalf of another party,"It is a kind of legal agent, licensee, service provider. ",,,release
thirty years,NamedIndividual,Interest Rates Ontology,,duration of exactly thirty years,,,,release
thirty-six months,NamedIndividual,Interest Rates Ontology,,"duration of exactly thirty-six months, regardless of the length in days of a given calendar month, but typically 30 days",,,,release
three hundred sixty months,NamedIndividual,Interest Rates Ontology,,"duration of exactly three hundred sixty months, regardless of the length in days of a given calendar month, but typically 30 days",,,,release
three months,NamedIndividual,Interest Rates Ontology,,"duration of exactly three months, regardless of the length in days of a given calendar month, but typically 30 days",,,,release
three years,NamedIndividual,Interest Rates Ontology,,duration of exactly three years,,,,release
thrift institution,Class,US Financial Services Entities Ontology,,savings association that primarily accepts savings account deposits and invests most of the proceeds in mortgages,It is a kind of savings association. ,Savings banks and savings and loan associations and credit unions are examples of thrift institutions.,,release
thrift regulator,NamedIndividual,US Regulatory Agencies Ontology,,regulatory agency and registration authority role of the Office of Thrift Supervision (OTS),,,,release
throughway,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,,,,,release
ticker symbol,Class,Securities Identification Ontology,,"exchange-specific identifier for a particular security or listing for that security, depending on the country",It is a kind of reassignable identifier. ,,"Every listed security has at least one unique ticker symbol, facilitating the vast array of trade orders that flow through the financial markets every day. However, in some countries this relationship may be indirect, through the listing, rather than direct, as is the case in the United States.  In the US, the relationship between a ticker symbol and the listed security is one-to-one.  This is not, however, the case in Singapore, where there may be unique ticker symbols for the same security based on the lot size.",release
